foldername,images,pred_lat,norm_lat,pred_long,norm_long,pred_depth,norm_depth,pred_magnitude,norm_magnitude,pred_time,norm_time
20100106_094408crop,000300_20100106_094408_crop.png,0.6155503,0.605942256226706,0.34036583,0.4495858326192541,0.1880356,0.17005411517097876,0.15966982,0.08571428571428566,0.23950723,0.16360241309968399
20100106_094408crop,000301_20100106_094408_crop.png,0.6157935,0.605942256226706,0.33694825,0.4495858326192541,0.18465932,0.17005411517097876,0.15489139,0.08571428571428566,0.23634255,0.16360241309968399
20100106_094408crop,000302_20100106_094408_crop.png,0.6175271,0.605942256226706,0.33554798,0.4495858326192541,0.1899074,0.17005411517097876,0.15663676,0.08571428571428566,0.23307563,0.16360241309968399
20100106_094408crop,000303_20100106_094408_crop.png,0.61061615,0.605942256226706,0.33339867,0.4495858326192541,0.18683888,0.17005411517097876,0.15169403,0.08571428571428566,0.23723164,0.16360241309968399
20100106_094408crop,000304_20100106_094408_crop.png,0.6231163,0.605942256226706,0.33285034,0.4495858326192541,0.18497628,0.17005411517097876,0.15605828,0.08571428571428566,0.22654814,0.16360241309968399
20100106_094408crop,000305_20100106_094408_crop.png,0.6308039,0.605942256226706,0.3356231,0.4495858326192541,0.19026133,0.17005411517097876,0.14446563,0.08571428571428566,0.22361366,0.16360241309968399
20100106_094408crop,000306_20100106_094408_crop.png,0.6191055,0.605942256226706,0.3392414,0.4495858326192541,0.188729,0.17005411517097876,0.13780561,0.08571428571428566,0.22217456,0.16360241309968399
20100106_094408crop,000307_20100106_094408_crop.png,0.6186379,0.605942256226706,0.33901685,0.4495858326192541,0.19480324,0.17005411517097876,0.10811303,0.08571428571428566,0.22788507,0.16360241309968399
20100106_094408crop,000308_20100106_094408_crop.png,0.62739795,0.605942256226706,0.3384433,0.4495858326192541,0.1901143,0.17005411517097876,0.12878615,0.08571428571428566,0.2202054,0.16360241309968399
20100106_094408crop,000309_20100106_094408_crop.png,0.63055605,0.605942256226706,0.3436974,0.4495858326192541,0.19261928,0.17005411517097876,0.13337414,0.08571428571428566,0.22024587,0.16360241309968399
20100106_094408crop,000310_20100106_094408_crop.png,0.62465113,0.605942256226706,0.34312198,0.4495858326192541,0.18743046,0.17005411517097876,0.14065623,0.08571428571428566,0.22147731,0.16360241309968399
20100106_094408crop,000311_20100106_094408_crop.png,0.62295425,0.605942256226706,0.34190962,0.4495858326192541,0.19490167,0.17005411517097876,0.11799532,0.08571428571428566,0.22697248,0.16360241309968399
20100106_094408crop,000312_20100106_094408_crop.png,0.63504636,0.605942256226706,0.3399675,0.4495858326192541,0.19244964,0.17005411517097876,0.11929632,0.08571428571428566,0.222556,0.16360241309968399
20100106_094408crop,000313_20100106_094408_crop.png,0.6296058,0.605942256226706,0.3445442,0.4495858326192541,0.1913376,0.17005411517097876,0.10776932,0.08571428571428566,0.22295293,0.16360241309968399
20100106_094408crop,000314_20100106_094408_crop.png,0.6291341,0.605942256226706,0.35324502,0.4495858326192541,0.17519124,0.17005411517097876,0.12565282,0.08571428571428566,0.21039103,0.16360241309968399
20100106_094408crop,000315_20100106_094408_crop.png,0.6293493,0.605942256226706,0.34491503,0.4495858326192541,0.18677254,0.17005411517097876,0.098562755,0.08571428571428566,0.22052617,0.16360241309968399
20100106_094408crop,000316_20100106_094408_crop.png,0.6346178,0.605942256226706,0.3477303,0.4495858326192541,0.18210758,0.17005411517097876,0.114959024,0.08571428571428566,0.21586104,0.16360241309968399
20100106_094408crop,000317_20100106_094408_crop.png,0.6255504,0.605942256226706,0.34883168,0.4495858326192541,0.17839633,0.17005411517097876,0.09847273,0.08571428571428566,0.2173797,0.16360241309968399
20100106_094408crop,000318_20100106_094408_crop.png,0.62589407,0.605942256226706,0.35298347,0.4495858326192541,0.17464337,0.17005411517097876,0.103095785,0.08571428571428566,0.21469307,0.16360241309968399
20100106_094408crop,000319_20100106_094408_crop.png,0.6304049,0.605942256226706,0.35135412,0.4495858326192541,0.17320922,0.17005411517097876,0.12238084,0.08571428571428566,0.21281122,0.16360241309968399
20100106_094408crop,000320_20100106_094408_crop.png,0.63029027,0.605942256226706,0.35365838,0.4495858326192541,0.17089519,0.17005411517097876,0.124765046,0.08571428571428566,0.21196437,0.16360241309968399
20100209_003925crop,000300_20100209_003925_crop.png,0.21943055,0.15561224489795938,0.5112589,0.5241359611539578,0.17542443,0.09490248030704997,0.37786987,0.2857142857142857,0.4503745,0.49099396725079
